Select the country where your practice is located.,Where is your primary surgery location?,How many years have you been in practice post training?,Are you an ESCRS delegate?,Q_PHACO_DEFAULT,Q_PRESBYOPIA_DEFAULT,Q_ASTIGMATISM_DEFAULT,Q_REFRACTIVE_DEFAULT,Q_OCULARSURFACE_DEFAULT,Q_GLAUCOMA_DEFAULT,Q_RETINA_DEFAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Public hospital,0-5 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,,,26-50,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Public hospital,Currently in training,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,,More than 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Other (Please specify.) ,11-20 years,Yes,Stop and chop,Extended depth of focus IOLs,,Other,11-25,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Public hospital,Over 30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Private hospital,Over 30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Surgeon-owned clinic,6-10 years,Yes,Vertical chop,Bifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Hospital-owned clinic,0-5 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Hospital-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Private hospital,21-30 years,,,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Private hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Wavefront-optimized,51-99,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,Academic institution or non-profit,Currently in training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Surgeon-owned clinic,21-30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Corporate-owned clinic,11-20 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Surgeon-owned clinic,21-30 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Private hospital,11-20 years,"No, and I have no plans to become a delegate",,,,Topography-customized,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Wavefront-customized,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Private hospital,Over 30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Corporate-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Surgeon-owned clinic,6-10 years,"No, and I have no plans to become a delegate",Stop and chop,Enhanced Monofocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,Private hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,Standard ablations,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Hospital-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Surgeon-owned clinic,Over 30 years,Yes,Divide and conquer,Bifocal IOLs,,Topography-customized,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Surgeon-owned clinic,Over 30 years,Yes,Stop and chop,Extended depth of focus IOLs,,,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,Surgeon-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Surgeon-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,Digital image registration,Standard ablations,26-50,I do not perform surgical interventions,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Private hospital,Over 30 years,Yes,,Extended depth of focus IOLs,,Wavefront-optimized,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Private hospital,21-30 years,Yes,Stop and chop,Enhanced Monofocal IOLs,,Topography-customized,10-Jun,After two medications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surgeon-owned clinic,11-20 years,Yes,Horizontal chop,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-optimized,10-Jun,First line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Academic institution or non-profit,11-20 years,Yes,Vertical chop,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,11-25,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Corporate-owned clinic,21-30 years,Yes,,Trifocal IOLs,,Standard ablations,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Hospital-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Bifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,10-Jun,After two medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,0-5 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Surgeon-owned clinic,21-30 years,Yes,Horizontal chop,Extended depth of focus IOLs,,Wavefront-customized,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Public hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",,,,,10-Jun,After two medications,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Public hospital,0-5 years,Yes,Stop and chop,,,,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Enhanced Monofocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Hospital-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-customized,10-Jun,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Academic institution or non-profit,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,Digital image registration,Wavefront-optimized,11-25,After two medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Hospital-owned clinic,11-20 years,Yes,,Accommodating IOLs,Ink marking at the slit lamp with no additional instruments,,5-Jan,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Private hospital,11-20 years,Yes,Stop and chop,Extended depth of focus IOLs,Digital image registration,Wavefront-customized,26-50,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Public hospital,21-30 years,Yes,Divide and conquer,,,,100 or more,After two medications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Public hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,10-Jun,After two medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Surgeon-owned clinic,Over 30 years,Yes,Stop and chop,Extended depth of focus IOLs,Digital image registration,Wavefront-customized,11-25,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Private hospital,11-20 years,"No, and I have no plans to become a delegate",,,,Wavefront-optimized,11-25,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Surgeon-owned clinic,Over 30 years,"No, and I have no plans to become a delegate",,,,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Enhanced Monofocal IOLs,Anatomical landmarks without preoperative marking,Other,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public hospital,21-30 years,"No, and I have no plans to become a delegate",Stop and chop,Trifocal IOLs,Digital image registration,Wavefront-optimized,51-99,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Academic institution or non-profit,0-5 years,"No, and I have no plans to become a delegate",,,,,26-50,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Corporate-owned clinic,21-30 years,Yes,Horizontal chop,Trifocal IOLs,,Standard ablations,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Public hospital,Currently in training,"No, but I plan to become a delegate in the next 12 months",,,,,51-99,I do not perform surgical interventions,More than 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Private hospital,Over 30 years,Yes,Other,Enhanced Monofocal IOLs,Digital image registration,Wavefront-optimized,26-50,After three medications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",Horizontal chop,Enhanced Monofocal IOLs,Ink marking at the slit lamp with no additional instruments,,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,0-5 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Corporate-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Hospital-owned clinic,11-20 years,Yes,Stop and chop,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-optimized,51-99,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Academic institution or non-profit,21-30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-customized,11-25,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Hospital-owned clinic,6-10 years,"No, and I have no plans to become a delegate",Divide and conquer,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Trifocal IOLs,Digital image registration,Femtosecond intrastromal lenticule extraction ,51-99,After three medications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Surgeon-owned clinic,21-30 years,Yes,Stop and chop,Extended depth of focus IOLs,Digital image registration,,26-50,I do not perform surgical interventions,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,0-5 years,Yes,,,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Hospital-owned clinic,0-5 years,Yes,Divide and conquer,,,,26-50,First line,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Private hospital,11-20 years,Yes,Divide and conquer,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-optimized,11-25,After two medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Private hospital,11-20 years,Yes,Other,,Digital image registration,Standard ablations,26-50,After two medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Surgeon-owned clinic,0-5 years,Yes,Divide and conquer,Enhanced Monofocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,26-50,I do not perform surgical interventions,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Private hospital,11-20 years,Yes,Other,Extended depth of focus IOLs,Digital image registration,Standard ablations,26-50,After two medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Public hospital,21-30 years,Yes,,Extended depth of focus IOLs,,Standard ablations,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Private hospital,Currently in training,"No, and I have no plans to become a delegate",Divide and conquer,,Anatomical landmarks without preoperative marking,,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Public hospital,Currently in training,"No, and I have no plans to become a delegate",,,,Wavefront-customized,26-50,After three medications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Public hospital,Currently in training,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,After three medications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Private hospital,11-20 years,Yes,,,,Femtosecond intrastromal lenticule extraction ,11-25,After two medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,6-10 years,"No, and I have no plans to become a delegate",Stop and chop,,,,51-99,After three medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Private hospital,Currently in training,Yes,Stop and chop,,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Public hospital,11-20 years,Yes,Divide and conquer,Extended depth of focus IOLs,,,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Corporate-owned clinic,Over 30 years,Yes,Divide and conquer,,Ink marking at the slit lamp with no additional instruments,Wavefront-customized,100 or more,After first-line medication,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Surgeon-owned clinic,11-20 years,Yes,Horizontal chop,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Standard ablations,51-99,After three medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Public hospital,Over 30 years,"No, and I have no plans to become a delegate",Horizontal chop,Enhanced Monofocal IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-optimized,5-Jan,First line,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Private hospital,21-30 years,Yes,Vertical chop,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Femtosecond intrastromal lenticule extraction ,10-Jun,After two medications,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Private hospital,11-20 years,Yes,,Trifocal IOLs,Digital image registration,Standard ablations,100 or more,After three medications,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Public hospital,Over 30 years,"No, and I have no plans to become a delegate",Stop and chop,Bifocal IOLs,Ink marking at the slit lamp with no additional instruments,,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Hospital-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,Digital image registration,,26-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,6-10 years,"No, and I have no plans to become a delegate",Divide and conquer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Surgeon-owned clinic,11-20 years,Yes,Stop and chop,Extended depth of focus IOLs,Digital image registration,Wavefront-customized,51-99,After three medications,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Public hospital,21-30 years,Yes,Divide and conquer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,Surgeon-owned clinic,Over 30 years,Yes,,Trifocal IOLs,Digital image registration,Femtosecond intrastromal lenticule extraction ,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,Corporate-owned clinic,Over 30 years,Yes,,Trifocal IOLs,Digital image registration,Femtosecond intrastromal lenticule extraction ,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Hospital-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,Digital image registration,Wavefront-customized,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Private hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Private hospital,Currently in training,Yes,,,,,11-25,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Academic institution or non-profit,0-5 years,"No, and I have no plans to become a delegate",Divide and conquer,,,,None,I do not perform surgical interventions,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Public hospital,11-20 years,Yes,,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Private hospital,6-10 years,Yes,Stop and chop,Extended depth of focus IOLs,Digital image registration,Femtosecond intrastromal lenticule extraction ,11-25,After two medications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Surgeon-owned clinic,11-20 years,Yes,,Extended depth of focus IOLs,Digital image registration,Standard ablations,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,Currently in training,"No, and I have no plans to become a delegate",Vertical chop,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Public hospital,Currently in training,"No, and I have no plans to become a delegate",,,,,11-25,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,51-99,After first-line medication,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Hospital-owned clinic,0-5 years,"No, and I have no plans to become a delegate",,,,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Surgeon-owned clinic,6-10 years,"No, and I have no plans to become a delegate",,,,,11-25,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Surgeon-owned clinic,21-30 years,Yes,,Extended depth of focus IOLs,,Standard ablations,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Corporate-owned clinic,Currently in training,Yes,,Extended depth of focus IOLs,Digital image registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Private hospital,11-20 years,Yes,Vertical chop,Trifocal IOLs,Digital image registration,Femtosecond intrastromal lenticule extraction ,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Surgeon-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Corporate-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,Over 30 years,"No, and I have no plans to become a delegate",Divide and conquer,,Ink marking at the slit lamp with no additional instruments,,51-99,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Public hospital,Currently in training,"No, and I have no plans to become a delegate",,,,,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Public hospital,21-30 years,Yes,Divide and conquer,Trifocal IOLs,,,10-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Private hospital,0-5 years,Yes,Stop and chop,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,26-50,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Surgeon-owned clinic,Over 30 years,Yes,,Extended depth of focus IOLs,Digital image registration,Wavefront-customized,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Hospital-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Extended depth of focus IOLs,,Wavefront-optimized,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
